,country_only,base_count
0,Angola,5922555250
1,Australia,550968839
2,Austria,1763711405
3,Belgium,19471765580
4,Brazil,14581177895
5,Canada,273687304288
6,China,2298364563684
7,Denmark,38531260907
8,France,356006744284
9,French Guiana,2293722524
10,Germany,430349106467
11,Hungary,0
12,India,26876208129
13,Ireland,1558888541
14,Israel,68931725537
15,Italy,5818284227
16,Japan,3408109548
17,Korea,939374071
18,Madagascar,5375393250
19,Malaysia,49400881254
20,Morocco,28126706622
21,Niger,5433948188
22,Not applicable,49801467961
23,Poland,13808324502
24,Senegal,4509485168
25,Singapore,180775804191
26,South Korea,4393924806
27,Spain,345813451000
28,Switzerland,499990012699
29,Tunisia,53225847000
30,Turkey,11365784116
31,USA,1725569332280
32,United Kingdom,469860111777
33,Uruguay,1692916800
34,missing,425015853737
