,country_only,instrument_platform,size
0,Angola,ILLUMINA,2
1,Australia,OXFORD_NANOPORE,2
2,Austria,ILLUMINA,133
3,Belgium,ILLUMINA,27
4,Brazil,ABI_SOLID,1
5,Brazil,ILLUMINA,9
6,Canada,ILLUMINA,121
7,China,BGISEQ,40
8,China,ILLUMINA,579
9,China,OXFORD_NANOPORE,38
10,Denmark,ILLUMINA,30
11,France,ILLUMINA,220
12,France,LS454,1
13,French Guiana,ILLUMINA,1
14,Germany,ILLUMINA,84
15,Hungary,ILLUMINA,6
16,India,ILLUMINA,6
17,Ireland,OXFORD_NANOPORE,8
18,Israel,ILLUMINA,17
19,Italy,ILLUMINA,2
20,Japan,ION_TORRENT,2
21,Japan,OXFORD_NANOPORE,1
22,Korea,ILLUMINA,1
23,Korea,LS454,1
24,Madagascar,ILLUMINA,2
25,Malaysia,ILLUMINA,12
26,Morocco,ILLUMINA,24
27,Niger,ILLUMINA,4
28,Not applicable,ILLUMINA,40
29,Not applicable,PACBIO_SMRT,1
30,Poland,ION_TORRENT,6
31,Senegal,ILLUMINA,5
32,Singapore,ILLUMINA,94
33,Singapore,OXFORD_NANOPORE,8
34,Singapore,PACBIO_SMRT,1
35,South Korea,ILLUMINA,4
36,Spain,ILLUMINA,61
37,Switzerland,ILLUMINA,113
38,Tunisia,ILLUMINA,18
39,Turkey,ILLUMINA,6
40,USA,ILLUMINA,1556
41,USA,OXFORD_NANOPORE,5
42,USA,PACBIO_SMRT,4
43,United Kingdom,ILLUMINA,131
44,United Kingdom,OXFORD_NANOPORE,2
45,United Kingdom,PACBIO_SMRT,3
46,Uruguay,ILLUMINA,1
47,missing,ILLUMINA,133
