,collection_date,first_public,time_diff_days,country
SRR10084036,2019-01-01,2019-09-10,252,Singapore
SRR10084038,2019-01-01,2019-09-10,252,Singapore
SRR10822285,2018-11-10,2022-02-01,1179,China
SRR10822286,2018-11-10,2022-02-01,1179,China
SRR10847781,2016-11-05,2021-01-04,1521,China
SRR10847782,2016-11-05,2021-01-04,1521,China
SRR10847784,2016-11-05,2021-01-04,1521,China
SRR10847786,2016-11-05,2021-01-04,1521,China
SRR10847787,2016-11-05,2021-01-04,1521,China
SRR10847789,2016-11-05,2021-01-04,1521,China
SRR11048719,2018-01-01,2020-02-10,770,Singapore
SRR11235410,2018-10-22,2020-06-18,605,Canada
SRR11235430,2015-09-22,2020-06-18,1731,Canada
SRR11235432,2014-04-10,2020-06-18,2261,Canada
SRR1172024,2013-11-01,2014-03-13,132,
SRR1172041,2013-11-01,2014-03-13,132,
SRR1172049,2013-11-01,2014-03-13,132,
SRR1172160,2013-11-01,2014-03-13,132,
SRR1172222,2013-11-01,2014-03-13,132,
SRR1172262,2013-11-01,2014-03-13,132,
SRR1172283,2013-11-01,2014-03-13,132,
SRR1172307,2013-11-01,2014-03-13,132,
SRR1172324,2013-11-01,2014-03-13,132,
SRR1172325,2013-11-01,2014-03-13,132,
SRR1172384,2013-11-01,2014-03-13,132,
SRR1172385,2013-11-01,2014-03-13,132,
SRR1172403,2013-11-01,2014-03-13,132,
SRR1172415,2013-11-01,2014-03-13,132,
SRR1172420,2013-11-01,2014-03-13,132,
SRR1172427,2013-11-01,2014-03-13,132,
SRR1172450,2013-11-01,2014-03-13,132,
SRR1172665,2013-11-01,2014-03-13,132,
SRR1172682,2013-11-01,2014-03-13,132,
SRR1172683,2013-11-01,2014-03-13,132,
SRR1172810,2013-11-01,2014-03-13,132,
SRR1174845,2013-11-01,2014-03-13,132,
SRR1174893,2013-11-01,2014-03-13,132,
SRR1175267,2013-11-01,2014-03-13,132,
SRR1184258,2013-11-01,2014-03-13,132,
SRR1184270,2013-11-01,2014-03-13,132,
SRR1184271,2013-11-01,2014-03-13,132,
SRR1184274,2013-11-01,2014-03-13,132,
SRR1184282,2013-11-01,2014-03-13,132,
SRR1184285,2013-11-01,2014-03-13,132,
SRR1184402,2013-11-01,2014-03-13,132,
SRR1184404,2013-11-01,2014-03-13,132,
SRR1184406,2013-11-01,2014-03-13,132,
SRR1184408,2013-11-01,2014-03-13,132,
SRR1184410,2013-11-01,2014-03-13,132,
SRR1184411,2013-11-01,2014-03-13,132,
SRR1184412,2013-11-01,2014-03-13,132,
SRR1184414,2013-11-01,2014-03-13,132,
SRR1186042,2013-11-01,2014-03-14,133,
SRR1186224,2013-11-01,2014-03-14,133,
SRR1186226,2013-11-01,2014-03-14,133,
SRR1186229,2013-11-01,2014-03-14,133,
SRR1186230,2013-11-01,2014-03-14,133,
SRR1186231,2013-11-01,2014-03-14,133,
SRR1186232,2013-11-01,2014-03-14,133,
SRR11962746,2011-11-01,2020-06-10,3144,Switzerland
SRR11962747,2011-11-01,2020-06-10,3144,Switzerland
SRR11962751,2005-06-02,2020-06-10,5487,Switzerland
SRR11962754,2013-04-20,2020-06-10,2608,Switzerland
SRR11962755,2013-04-20,2020-06-10,2608,Switzerland
SRR11962758,2013-04-20,2020-06-10,2608,Switzerland
SRR11962760,2011-11-01,2020-06-10,3144,Switzerland
SRR11962761,2011-11-01,2020-06-10,3144,Switzerland
SRR11996623,1994-12-05,2020-06-12,9321,Switzerland
SRR11996625,1994-12-05,2020-06-12,9321,Switzerland
SRR11996626,1994-12-05,2020-06-12,9321,Switzerland
SRR1237032,2013-11-01,2014-04-28,178,
SRR1237033,2013-11-01,2014-04-28,178,
SRR1237038,2013-11-01,2014-04-28,178,
SRR1237040,2013-11-01,2014-04-28,178,
SRR1237047,2013-11-01,2014-04-28,178,
SRR1237048,2013-11-01,2014-04-28,178,
SRR1237060,2013-11-01,2014-04-28,178,
SRR1237068,2013-11-01,2014-04-28,178,
SRR1237070,2013-11-01,2014-04-28,178,
SRR1237073,2013-11-01,2014-04-28,178,
SRR1237074,2013-11-01,2014-04-28,178,
SRR1237076,2013-11-01,2014-04-28,178,
SRR1237079,2013-11-01,2014-04-28,178,
SRR1237086,2013-11-01,2014-04-28,178,
SRR1237087,2013-11-01,2014-04-28,178,
SRR1237092,2013-11-01,2014-04-28,178,
SRR1237108,2013-11-01,2014-04-28,178,
SRR1237110,2013-11-01,2014-04-28,178,
SRR1237112,2013-11-01,2014-04-28,178,
SRR1237117,2013-11-01,2014-04-28,178,
SRR1237123,2013-11-01,2014-04-28,178,
SRR1237124,2013-11-01,2014-04-28,178,
SRR1237163,2013-11-01,2014-04-28,178,
SRR1237178,2013-11-01,2014-04-28,178,
SRR1237179,2013-11-01,2014-04-28,178,
SRR1237187,2013-11-01,2014-04-28,178,
SRR1237191,2013-11-01,2014-04-28,178,
SRR1237197,2013-11-01,2014-04-28,178,
SRR1237200,2013-11-01,2014-04-28,178,
SRR1237206,2013-11-01,2014-04-28,178,
SRR1237214,2013-11-01,2014-04-28,178,
SRR1237283,2013-11-01,2014-04-28,178,
SRR1237291,2013-11-01,2014-04-28,178,
SRR1237293,2013-11-01,2014-04-28,178,
SRR1237307,2013-11-01,2014-04-28,178,
SRR1237314,2013-11-01,2014-04-28,178,
SRR1237323,2013-11-01,2014-04-28,178,
SRR1237324,2013-11-01,2014-04-28,178,
SRR1237712,2013-11-01,2014-04-29,179,
SRR1237720,2013-11-01,2014-04-29,179,
SRR1237727,2013-11-01,2014-04-29,179,
SRR1237735,2013-11-01,2014-04-29,179,
SRR1237736,2013-11-01,2014-04-29,179,
SRR1237743,2013-11-01,2014-04-29,179,
SRR1237755,2013-11-01,2014-04-29,179,
SRR1237756,2013-11-01,2014-04-29,179,
SRR1237760,2013-11-01,2014-04-29,179,
SRR1237761,2013-11-01,2014-04-29,179,
SRR1237763,2013-11-01,2014-04-29,179,
SRR1237764,2013-11-01,2014-04-29,179,
SRR12432796,2019-05-13,2022-12-07,1304,China
SRR12450959,2019-05-13,2021-01-04,602,China
SRR12615723,2019-10-10,2020-09-19,345,
SRR12615725,2019-10-10,2020-09-19,345,
SRR12615727,2019-10-10,2020-09-19,345,
SRR12615728,2019-10-10,2020-09-19,345,
SRR12618575,2015-01-01,2020-09-16,2085,Poland
SRR12677936,2018-12-10,2020-09-21,651,China
SRR1273793,2013-11-01,2014-05-16,196,
SRR1273803,2013-11-01,2014-05-16,196,
SRR1274989,2013-11-01,2014-05-16,196,
SRR13318035,2019-05-01,2023-01-02,1342,China
SRR13318036,2019-05-01,2023-01-02,1342,China
SRR13318038,2019-05-01,2023-01-02,1342,China
SRR13318043,2019-05-01,2023-01-02,1342,China
SRR13587520,2011-08-05,2022-12-17,4152,China
SRR13587521,2015-08-05,2022-12-17,2691,China
SRR13587522,2015-08-05,2022-12-17,2691,China
SRR13587525,2011-08-05,2022-12-17,4152,China
SRR13587526,2013-08-05,2022-12-17,3421,China
SRR13587529,2012-08-05,2022-12-17,3786,China
SRR13587533,2012-08-05,2022-12-17,3786,China
SRR13587535,2012-08-05,2022-12-17,3786,China
SRR13587548,2011-08-05,2022-12-17,4152,China
SRR13587549,2012-08-05,2022-12-17,3786,China
SRR13587550,2012-08-05,2022-12-17,3786,China
SRR13587551,2012-08-05,2022-12-17,3786,China
SRR13587552,2015-08-05,2022-12-17,2691,China
SRR13587554,2015-08-05,2022-12-17,2691,China
SRR13587557,2015-08-05,2022-12-17,2691,China
SRR13587558,2015-08-05,2022-12-17,2691,China
SRR13587560,2015-08-05,2022-12-17,2691,China
SRR13587565,2015-08-05,2022-12-17,2691,China
SRR13587567,2015-08-05,2022-12-17,2691,China
SRR13587568,2012-08-05,2022-12-17,3786,China
SRR13587573,2015-08-05,2022-12-17,2691,China
SRR13587577,2015-08-05,2022-12-17,2691,China
SRR13587578,2015-08-05,2022-12-17,2691,China
SRR13587579,2012-08-05,2022-12-17,3786,China
SRR13587580,2015-08-05,2022-12-17,2691,China
SRR13587583,2015-08-05,2022-12-17,2691,China
SRR13587588,2015-08-05,2022-12-17,2691,China
SRR13587603,2015-08-05,2022-12-17,2691,China
SRR13587611,2015-08-05,2022-12-17,2691,China
SRR13587615,2015-08-05,2022-12-17,2691,China
SRR13587622,2015-08-05,2022-12-17,2691,China
SRR13587625,2015-08-05,2022-12-17,2691,China
SRR13587626,2015-08-05,2022-12-17,2691,China
SRR13587627,2015-08-05,2022-12-17,2691,China
SRR13587630,2015-08-05,2022-12-17,2691,China
SRR13587637,2015-08-05,2022-12-17,2691,China
SRR13587638,2015-08-05,2022-12-17,2691,China
SRR13587639,2015-08-05,2022-12-17,2691,China
SRR13587644,2015-08-05,2022-12-17,2691,China
SRR13587650,2015-08-05,2022-12-17,2691,China
SRR13587658,2015-08-05,2022-12-17,2691,China
SRR13587659,2015-08-05,2022-12-17,2691,China
SRR13587660,2015-08-05,2022-12-17,2691,China
SRR13587662,2015-08-05,2022-12-17,2691,China
SRR13587670,2013-08-05,2022-12-17,3421,China
SRR13587674,2013-08-05,2022-12-17,3421,China
SRR13587675,2013-08-05,2022-12-17,3421,China
SRR13587679,2013-08-05,2022-12-17,3421,China
SRR13587683,2013-08-05,2022-12-17,3421,China
SRR13587684,2013-08-05,2022-12-17,3421,China
SRR13587689,2013-08-05,2022-12-17,3421,China
SRR13587693,2013-08-05,2022-12-17,3421,China
SRR13587697,2013-08-05,2022-12-17,3421,China
SRR13587699,2013-08-05,2022-12-17,3421,China
SRR13587701,2013-08-05,2022-12-17,3421,China
SRR13587703,2013-08-05,2022-12-17,3421,China
SRR13587711,2015-08-05,2022-12-17,2691,China
SRR13587714,2015-08-05,2022-12-17,2691,China
SRR13587718,2015-08-05,2022-12-17,2691,China
SRR13587719,2015-08-05,2022-12-17,2691,China
SRR13587723,2015-08-05,2022-12-17,2691,China
SRR13587728,2012-08-05,2022-12-17,3786,China
SRR13587736,2015-08-05,2022-12-17,2691,China
SRR13587737,2015-08-05,2022-12-17,2691,China
SRR13587738,2015-08-05,2022-12-17,2691,China
SRR13587754,2013-08-05,2022-12-17,3421,China
SRR13587758,2013-08-05,2022-12-17,3421,China
