,collection_date,first_public,time_diff_days,country
LC154885,2016-05-20,2017-06-02,378,Japan
LC154888,2016-05-20,2017-06-02,378,Japan
LC154890,2016-05-20,2017-06-02,378,Japan
LC612887,2019-02-01,2021-03-30,788,Iran
LC612888,2019-02-01,2021-03-30,788,Iran
LC612891,2019-02-01,2021-03-30,788,Iran
LC612892,2019-02-01,2021-03-30,788,Iran
LC612894,2019-02-01,2021-03-30,788,Iran
LC612898,2020-02-01,2021-03-30,423,Iran
LC631692,2020-03-29,2021-06-02,430,Iraq
LC631698,2020-03-10,2021-06-02,449,Iraq
LC631956,2020-05-05,2021-06-02,393,Iraq
LC632667,2020-04-14,2021-06-02,414,Iraq
LC639854,2020-06-27,2021-07-21,389,Iraq
LC645984,2019-11-13,2021-08-10,636,Japan
LC737910,2021-10-12,2022-11-08,392,Iraq
LC154878,2016-05-20,2017-06-02,378,Japan
LC154879,2016-05-20,2017-06-02,378,Japan
LC154880,2016-05-20,2017-06-02,378,Japan
LC154881,2016-05-20,2017-06-02,378,Japan
LC154882,2016-05-20,2017-06-02,378,Japan
LC154883,2016-05-20,2017-06-02,378,Japan
LC154887,2016-05-20,2017-06-02,378,Japan
LC154911,2016-05-20,2017-06-02,378,Japan
LC154912,2016-05-20,2017-06-02,378,Japan
LC154913,2016-05-20,2017-06-02,378,Japan
LC201976,2015-08-15,2016-12-21,494,Iran
LC423510,2017-05-05,2018-09-12,495,Thailand
LC612890,2019-02-01,2021-03-30,788,Iran
LC612893,2019-02-01,2021-03-30,788,Iran
LC612896,2019-02-01,2021-03-30,788,Iran
LC612899,2020-02-01,2021-03-30,423,Iran
LC612900,2020-02-01,2021-03-30,423,Iran
LC651376,2021-01-15,2021-10-15,273,Iraq
LC722508,2021-10-31,2022-08-10,283,Iraq
LC790893,2022-10-30,2023-12-19,415,Iraq
LC631245,2020-02-01,2021-06-02,487,Iraq
LC631687,2020-01-15,2021-06-02,504,Iraq
LC631688,2020-02-22,2021-06-02,466,Iraq
LC631951,2020-04-16,2021-06-02,412,Iraq
LC612901,2020-02-01,2021-03-30,423,Iran
LC612902,2020-02-01,2021-03-30,423,Iran
LC612904,2020-02-01,2021-03-30,423,Iran
LC631246,2020-01-15,2021-06-02,504,Iraq
LC632520,2020-06-11,2021-06-02,356,Iraq
LC632522,2020-07-08,2021-06-02,329,Iraq
LC632523,2020-04-19,2021-06-02,409,Iraq
LC632668,2020-09-11,2021-06-02,264,Iraq
LC651377,2021-02-15,2021-10-15,242,Iraq
LC722485,2021-11-17,2022-08-10,266,Iraq
OQ866241,2022-01-12,2023-06-14,518,Iraq
LC154884,2016-05-20,2017-06-02,378,Japan
LC612897,2020-02-01,2021-03-30,423,Iran
LC612903,2020-02-01,2021-03-30,423,Iran
LC631249,2020-01-22,2021-06-02,497,Iraq
LC631694,2020-01-10,2021-06-02,509,Iraq
LC631953,2020-05-14,2021-06-02,384,Iraq
LC631955,2020-02-13,2021-06-02,475,Iraq
LC632519,2020-04-24,2021-06-02,404,Iraq
LC632521,2020-06-09,2021-06-02,358,Iraq
LC632665,2020-08-05,2021-06-02,301,Iraq
LC639846,2019-12-20,2021-07-21,579,Iraq
OQ913169,2022-02-10,2023-06-14,489,Iraq
LC154877,2016-05-20,2017-06-02,378,Japan
LC154886,2016-05-20,2017-06-02,378,Japan
LC154889,2016-05-20,2017-06-02,378,Japan
LC154891,2016-05-20,2017-06-02,378,Japan
LC612889,2019-02-01,2021-03-30,788,Iran
LC612895,2019-02-01,2021-03-30,788,Iran
LC612905,2020-02-01,2021-03-30,423,Iran
LC612906,2020-02-01,2021-03-30,423,Iran
LC631247,2020-03-06,2021-06-02,453,Iraq
LC631697,2020-03-25,2021-06-02,434,Iraq
LC631954,2020-05-13,2021-06-02,385,Iraq
LC632663,2020-06-03,2021-06-02,364,Iraq
LC632664,2020-06-08,2021-06-02,359,Iraq
LC632669,2020-02-28,2021-06-02,460,Iraq
LC639845,2019-12-19,2021-07-21,580,Iraq
LC639856,2020-07-10,2021-07-21,376,Iraq
OQ866240,2022-01-12,2023-06-14,518,Iraq
