,country,center_names
0,USA,2333
1,China,581
2,United Kingdom,184
3,France,175
4,Germany,173
5,Australia,159
6,Canada,148
7,Japan,95
8,Spain,94
9,Switzerland,80
10,India,78
11,Netherlands,71
12,New Zealand,67
13,Denmark,60
14,Brazil,57
15,Russia,55
16,Thailand,53
17,South Africa,49
18,Italy,45
19,Uganda,45
20,Sweden,44
21,Singapore,41
22,Tanzania,38
23,South Korea,38
24,Portugal,36
25,Pakistan,34
26,Bangladesh,33
27,Belgium,32
28,Czech Republic,30
29,Mexico,29
30,Hungary,27
31,Nigeria,26
32,Taiwan,25
33,Hong Kong,22
34,Cambodia,22
35,Malaysia,20
36,Finland,19
37,Israel,19
38,Austria,19
39,Kenya,18
40,Ireland,16
41,Chile,16
42,Viet Nam,17
43,Poland,15
44,missing,15
45,Croatia,13
46,Ghana,12
47,Gambia,12
48,Ethiopia,12
49,Lebanon,12
50,Egypt,12
51,Turkey,12
52,Qatar,10
53,Norway,10
54,Saudi Arabia,10
55,Peru,9
56,Lithuania,9
57,Mozambique,9
58,Argentina,9
59,Ecuador,9
60,Mali,8
61,Greece,8
62,Iran,8
63,Slovakia,7
64,Indonesia,7
65,Romania,6
66,United Arab Emirates,7
67,Bolivia,5
68,Korea,5
69,Kuwait,5
70,Myanmar,5
71,Not applicable,5
72,Slovenia,5
73,Nepal,4
74,Morocco,4
75,Malawi,4
76,Colombia,4
77,Madagascar,4
78,Guadeloupe,4
79,Bahrain,4
80,Latvia,4
81,Iraq,3
82,Puerto Rico,3
83,Dominican Republic,3
84,Guinea-Bissau,3
85,Democratic Republic of the Congo,3
86,Oman,3
87,Cuba,3
88,Sri Lanka,3
89,Niger,3
90,Estonia,3
91,Burkina Faso,3
92,Bulgaria,3
93,Uruguay,3
94,Laos,3
95,Algeria,3
96,Tunisia,3
97,Djibouti,2
98,Zambia,2
100,Benin,2
101,Somalia,2
102,Rwanda,2
103,Tonga,2
104,Cyprus,2
105,Costa Rica,2
106,Sudan,2
107,Serbia,2
108,Afghanistan,2
109,Iceland,2
110,Reunion,2
111,Paraguay,2
112,Papua New Guinea,2
113,Guyana,2
114,Missing,2
115,Kazakhstan,2
116,French Guiana,1
117,Luxembourg,1
118,Mongolia,1
119,Armenia,1
120,Ukraine,1
121,Antarctica,1
122,Venezuela,1
123,Macedonia,1
124,Uzbekistan,1
125,Liberia,1
126,Albania,1
129,West Bank,1
130,Malta,1
132,Kosovo,1
133,NCBS,1
134,Not Collected,1
136,Greenland,1
137,Guatemala,1
138,Not collected,1
139,Honduras,1
140,South Sudan,1
141,Not Applicable,1
142,Namibia,1
143,Cameroon,1
144,Syria,1
145,New Caledonia,1
146,Tajikistan,1
147,Gabon,1
148,Botswana,1
149,Africa,1
