,country_only,base_count
0,Afghanistan,4501217106
1,Africa,308781146
2,Albania,4482862982
3,Algeria,3448163902
4,Antarctica,10414314881
5,Argentina,198023121633
6,Armenia,10227247851
7,Australia,4666711599912
8,Austria,352204218198
9,Bahrain,84918362179
10,Bangladesh,451273243413
11,Belgium,1823566404135
12,Benin,11649896272
13,Bolivia,85399833081
14,Botswana,807613113
15,Brazil,523535732415
16,Bulgaria,19527343901
17,Burkina Faso,25638201480
18,Cambodia,945819994572
19,Cameroon,4653945135
20,Canada,6209560370117
21,Chile,161411047666
22,China,12846779284485
23,Colombia,23045872415
24,Costa Rica,984753055
25,Croatia,143317427500
26,Cuba,6675563108
27,Cyprus,15206698532
28,Czech Republic,200021963705
29,Democratic Republic of the Congo,7791768815
30,Denmark,1824647640198
31,Djibouti,9188354992
32,Dominican Republic,67119112008
33,Ecuador,1020981893079
34,Egypt,106376793867
35,Estonia,10130848180
36,Ethiopia,255153778210
37,Finland,359175149993
38,France,4282109470157
39,French Guiana,1193562825
40,Gabon,1435799491
41,Gambia,355878110961
42,Georgia,6046302697
43,Germany,3829815858705
44,Ghana,138319649163
45,Greece,275183759098
46,Greenland,9568336205
47,Guadeloupe,32733816750
48,Guam,470658637
49,Guatemala,46407833000
50,Guinea-Bissau,16722724992
51,Guyana,5095140022
52,Haiti,895923451
53,Honduras,18748245378
54,Hong Kong,243628291906
55,Hungary,430802614870
56,Iceland,5054383684
57,India,875817011227
58,Indonesia,69923537485
59,Iran,44384897106
60,Iraq,1334503883
61,Ireland,432302338466
62,Israel,1135301612462
63,Italy,429901536421
64,Japan,5383851871114
65,Kazakhstan,5283859440
66,Kenya,1292034730183
67,Korea,19992869816
68,Kosovo,2164599798
69,Kuwait,121901434242
70,Laos,172924779417
71,Latvia,28755076188
72,Lebanon,198922040370
73,Liberia,340232341
74,Lithuania,44049793232
75,Luxembourg,2188371903
76,Macedonia,424369496
77,Madagascar,681053297465
78,Malawi,42520415573
79,Malaysia,111145400829
80,Mali,178401003058
81,Malta,8297683016
82,Mexico,223698506236
83,Missing,30669540860
84,Mongolia,19213246236
85,Morocco,7573563939
86,Mozambique,154301774224
87,Myanmar,182575429367
88,NCBS,85021640388
89,Namibia,20990796
90,Nepal,39226841902
91,Netherlands,3475119569584
92,New Caledonia,6893929375
93,New Zealand,1526477668447
94,Niger,130243364329
95,Nigeria,219413134833
96,Norway,1453194444544
97,Not Applicable,547267186
98,Not Collected,483280332
99,Not applicable,5649909303
100,Not collected,422375388
101,Oman,72820598274
102,Pakistan,478762369657
103,Papua New Guinea,4754612845
104,Paraguay,74328821639
105,Peru,243604593230
106,Poland,314127140412
107,Portugal,552324533906
108,Puerto Rico,2618808830
109,Qatar,149266187697
110,Reunion,18940529977
111,Romania,91415801785
112,Russia,478943157417
113,Rwanda,68973197784
114,Saudi Arabia,608063123587
116,Serbia,2865840880
117,Singapore,1388594939078
118,Slovakia,23810292727
119,Slovenia,30815561145
120,Somalia,5965041184
121,South Africa,180110813940
122,South Korea,821355804522
123,South Sudan,3366629366
124,Spain,1572645061812
125,Sri Lanka,47199264461
126,Sudan,5581803456
127,Sweden,1042339973205
128,Switzerland,3662089829632
129,Syria,290172212
130,Taiwan,79679942314
131,Tajikistan,1937690286
132,Tanzania,443534582448
133,Thailand,2484331286214
134,Tonga,2994495297
135,Tunisia,77450472391
136,Turkey,189141302219
139,USA,80262466831254
140,Uganda,128096080813
141,Ukraine,1465535634
142,United Arab Emirates,196265592634
143,United Kingdom,18131640918134
144,Uruguay,12001479777
145,Uzbekistan,1691306774
146,Venezuela,3647013730
147,Viet Nam,358312188069
150,West Bank,17232068569
151,Zambia,35080909089
152,missing,4042902902378
