,country_only,instrument_platform,size
0,Afghanistan,ILLUMINA,8
1,Africa,ION_TORRENT,1
2,Albania,ILLUMINA,8
3,Algeria,ILLUMINA,8
4,Algeria,ION_TORRENT,1
5,Antarctica,ILLUMINA,5
6,Argentina,ILLUMINA,378
7,Argentina,OXFORD_NANOPORE,1
8,Argentina,PACBIO_SMRT,8
9,Armenia,ILLUMINA,8
10,Armenia,OXFORD_NANOPORE,4
11,Australia,ILLUMINA,7578
12,Australia,ION_TORRENT,5
13,Australia,OXFORD_NANOPORE,44
14,Australia,PACBIO_SMRT,18
15,Austria,ILLUMINA,522
16,Austria,OXFORD_NANOPORE,1
17,Austria,PACBIO_SMRT,6
18,Bahrain,ILLUMINA,55
19,Bahrain,LS454,2
20,Bahrain,PACBIO_SMRT,1
21,Bangladesh,ILLUMINA,599
22,Bangladesh,OXFORD_NANOPORE,28
23,Belgium,CAPILLARY,21
24,Belgium,ILLUMINA,1676
25,Belgium,OXFORD_NANOPORE,10
26,Belgium,PACBIO_SMRT,9
27,Benin,ILLUMINA,31
28,Bolivia,DNBSEQ,30
29,Bolivia,ILLUMINA,39
30,Bolivia,OXFORD_NANOPORE,1
31,Botswana,ILLUMINA,1
32,Botswana,OXFORD_NANOPORE,1
33,Brazil,ILLUMINA,607
34,Brazil,ION_TORRENT,2
35,Brazil,OXFORD_NANOPORE,1
36,Brazil,PACBIO_SMRT,1
37,Bulgaria,ILLUMINA,43
38,Bulgaria,PACBIO_SMRT,1
39,Burkina Faso,ILLUMINA,60
40,Burkina Faso,PACBIO_SMRT,1
41,Cambodia,ILLUMINA,1288
42,Cambodia,OXFORD_NANOPORE,35
43,Cameroon,ILLUMINA,25
44,Canada,ILLUMINA,9055
45,Canada,ION_TORRENT,2
46,Canada,OXFORD_NANOPORE,359
47,Canada,PACBIO_SMRT,8
48,Chile,ILLUMINA,272
49,China,ABI_SOLID,5
50,China,BGISEQ,242
51,China,CAPILLARY,199
52,China,DNBSEQ,34
53,China,HELICOS,1
54,China,ILLUMINA,7626
55,China,ION_TORRENT,11
56,China,LS454,48
57,China,OXFORD_NANOPORE,203
58,China,PACBIO_SMRT,98
59,Colombia,ILLUMINA,24
