,country,country_code,count,log_count,text
Japan,Japan,JPN,9916,9.201904893155081,"Country : Japan<br>Count: 9,916"
Nepal,Nepal,NPL,115,4.74493212836325,Country : Nepal<br>Count: 115
Canada,Canada,CAN,9424,9.151014905891367,"Country : Canada<br>Count: 9,424"
South Africa,South Africa,ZAF,291,5.673323267171493,Country : South Africa<br>Count: 291
USA,USA,USA,131403,11.786024215822252,"Country : United States<br>Count: 131,403"
India,India,IND,830,6.721425700790643,Country : India<br>Count: 830
Myanmar,Myanmar,MMR,301,5.707110264748875,Country : Myanmar<br>Count: 301
Taiwan,Taiwan,TWN,290,5.66988092298052,"Country : Taiwan, Province of China<br>Count: 290"
Belgium,Belgium,BEL,1716,7.447751280047908,"Country : Belgium<br>Count: 1,716"
France,France,FRA,5909,8.684231891345675,"Country : France<br>Count: 5,909"
Italy,Italy,ITA,929,6.834108738813838,Country : Italy<br>Count: 929
Thailand,Thailand,THA,2176,7.685243607975833,"Country : Thailand<br>Count: 2,176"
Indonesia,Indonesia,IDN,291,5.673323267171493,Country : Indonesia<br>Count: 291
Malawi,Malawi,MWI,66,4.189654742026425,Country : Malawi<br>Count: 66
Viet Nam,Viet Nam,VNM,1273,7.149131598557407,"Country : Viet Nam<br>Count: 1,273"
Egypt,Egypt,EGY,146,4.983606621708336,Country : Egypt<br>Count: 146
Cambodia,Cambodia,KHM,1323,7.187657164114956,"Country : Cambodia<br>Count: 1,323"
Bangladesh,Bangladesh,BGD,627,6.440946540632921,Country : Bangladesh<br>Count: 627
Ecuador,Ecuador,ECU,2129,7.663407664893479,"Country : Ecuador<br>Count: 2,129"
Mexico,Mexico,MEX,338,5.823045895483019,Country : Mexico<br>Count: 338
Guatemala,Guatemala,GTM,81,4.394449154672439,Country : Guatemala<br>Count: 81
Argentina,Argentina,ARG,387,5.958424693029782,Country : Argentina<br>Count: 387
Norway,Norway,NOR,1957,7.579167967396076,"Country : Norway<br>Count: 1,957"
Spain,Spain,ESP,2079,7.639642287858013,"Country : Spain<br>Count: 2,079"
Sweden,Sweden,SWE,1388,7.23561914106675,"Country : Sweden<br>Count: 1,388"
Denmark,Denmark,DNK,3678,8.210124405164267,"Country : Denmark<br>Count: 3,678"
Israel,Israel,ISR,3868,8.260492856573185,"Country : Israel<br>Count: 3,868"
Germany,Germany,DEU,6071,8.711278615130434,"Country : Germany<br>Count: 6,071"
Mali,Mali,MLI,179,5.187385805840755,Country : Mali<br>Count: 179
