,median_time_diff_days
,748.7475832438239
Myanmar,789.4864864864865
Japan,1309.034828807556
Thailand,1378.9433701657458
Viet Nam,2531.271714922049
Ecuador,1262.7642276422764
Portugal,1519.4331797235022
United Kingdom,1898.9182760723725
"Finland, Uusimaa, Helsinki",3267.0
Albania,892.5
Algeria,969.0
Australia,2098.0177921552768
Norway,1086.6478873239437
Pakistan,1202.526479750779
West Bank,566.3076923076923
Paraguay,783.4751773049645
Saudi Arabia,1710.5215946843855
Spain,1782.5027173913043
Switzerland,1565.2627599243856
Turkey,465.18518518518516
Zambia,4972.381578947368
Bangladesh,928.0774193548388
Bulgaria,741.125
Denmark,1063.2616541353384
France,2148.464950711939
Germany,1625.700323101777
Ghana,965.0
Greenland,891.8695652173913
Hong Kong,1231.0117647058823
Hungary,813.0512820512821
Italy,1848.6966292134832
Lithuania,447.4888888888889
Mozambique,962.0833333333334
New Zealand,1326.171097477846
Nigeria,728.9428571428572
Burkina Faso,1084.704918032787
Canada,1956.2483632523758
Croatia,885.7692307692307
Cyprus,1232.6666666666667
Czech Republic,698.1287128712871
Kuwait,1086.8658536585365
Cambodia,797.3453510436433
Armenia,1364.9166666666667
"South Africa, Gauteng",1184.909090909091
Sweden,2099.154589371981
Poland,1553.3992395437263
Netherlands,2587.3653846153848
India,1209.521298174442
Singapore,1467.7892976588628
"South Africa, Mpumalanga",780.6666666666666
Luxembourg,2009.0
Namibia,1791.0
China,972.4382284382284
Kenya,1110.2458642327438
Mongolia,1049.857142857143
Latvia,1557.0
"Finland, Uusimaa, Helsinki, Laakso",157.0
"Sweden, Stockholm",2330.1923076923076
Estonia,2046.0
Gambia,805.1714285714286
Russia,1463.3164556962026
USA,1410.5718674566601
Laos,1757.7619047619048
Qatar,837.1479289940828
Puerto Rico,9178.666666666666
Bolivia,2148.9411764705883
Mexico,3319.5794392523367
Malaysia,606.0725806451613
Sri Lanka,961.3382352941177
Guadeloupe,2580.1785714285716
Egypt,869.4375
Belgium,3430.6447368421054
Brazil,2055.406779661017
Malawi,1649.967213114754
Taiwan,816.9428571428572
Uruguay,1905.3333333333333
United Arab Emirates,1166.0
Oman,1087.0
Bahrain,1178.421052631579
Lebanon,697.75
Benin,684.8947368421053
Israel,1433.1721105527638
UK,689.0
Colombia,27.0
Nepal,1591.2941176470588
Ireland,1017.0175438596491
South Korea,2201.306709265176
South Africa,1232.5141509433963
Madagascar,1636.9098039215687
Dominican Republic,1005.2112676056338
Romania,325.6896551724138
"South Africa, North West",202.5
Tajikistan,1013.0
Finland,1155.8695652173913
Not applicable,324.6857142857143
Peru,2839.1516245487364
Argentina,3909.0
Iraq,216.0
Greece,1429.6
Korea,478.63761467889907
Indonesia,37.0
Ethiopia,813.3461538461538
Costa Rica,1042.5
Austria,1271.0
Kazakhstan,184.33333333333334
Venezuela,2017.0
Kosovo,1036.4
Ukraine,1136.0
Sudan,202.0
Uganda,606.5
