,median_time_diff_days
Korea,4661.0
,356.19101123595505
United Kingdom,560.3943661971831
South Korea,3222.4634146341464
China,1278.940466613033
USA,1640.0218181818182
Japan,2131.1581291759467
Iraq,264.741935483871
India,735.16
Norway,2060.213395638629
Denmark,751.0
Egypt,845.7
Thailand,2294.25988700565
Sweden,1770.25
Hong Kong,1338.3225806451612
Democratic Republic of the Congo,981.0
Canada,1896.8
United Arab Emirates,526.0
Germany,1825.5483870967741
Viet Nam,1069.9310344827586
Belgium,703.4
Italy,836.5769230769231
Taiwan,2736.285714285714
Spain,2429.875
Singapore,424.0
Pakistan,372.76119402985074
Brazil,6306.941176470588
Lebanon,742.0
Bangladesh,1757.1
Switzerland,1049.1942148760331
Czech Republic,678.6666666666666
France,591.578947368421
Myanmar,1882.0
Mexico,883.5555555555555
New Zealand,1746.025641025641
Nigeria,14100.0
Tanzania,1296.5384615384614
Australia,2358.8888888888887
Ireland,486.0
Uganda,542.7142857142857
Argentina,2189.0
Mali,3269.1428571428573
South Africa,663.0909090909091
Guinea-Bissau,9738.75
Ecuador,1730.7142857142858
Russia,1835.75
Sudan,866.7142857142857
Senegal,2143.0
Philippines,15797.0
Kazakhstan,1006.3333333333334
Netherlands,1033.5
Sri Lanka,13369.0
Turkey,981.7777777777778
Croatia,663.0
Iran,6.0
