,country,center_names
0,Ghana,52
1,Kenya,51
2,USA,38
3,France,25
4,Uganda,22
5,Tanzania,16
6,China,13
7,Thailand,11
8,Senegal,11
9,Mali,11
10,Cambodia,11
11,Democratic Republic of the Congo,11
12,Guinea,8
13,Zambia,8
14,Australia,8
15,Ethiopia,7
16,Togo,7
17,Netherlands,6
18,Malawi,6
19,Cameroon,6
20,Spain,5
21,Viet Nam,5
22,Gambia,5
23,Mozambique,5
24,Nigeria,4
25,Cote d'Ivoire,4
26,Haiti,4
27,Sierra Leone,4
28,Burkina Faso,4
29,Angola,4
30,Belgium,4
31,Rwanda,4
32,Guyana,3
33,Laos,3
34,South Africa,3
35,Benin,3
36,Madagascar,3
37,Liberia,3
38,United Kingdom,3
39,Guinea-Bissau,3
40,Gabon,2
41,Burundi,2
42,Brazil,2
43,Peru,2
44,Indonesia,2
45,Central African Republic,2
46,Dominican Republic,2
47,Sudan,2
48,Japan,2
49,Myanmar,2
50,India,2
51,Bangladesh,2
52,French Guiana,2
53,Switzerland,1
54,South Sudan,1
55,Vietnam,1
56,Saudi Arabia,1
57,Venezuela,1
58,Chad,1
59,Republic of the Congo,1
60,Jamaica,1
61,Cuba,1
62,Ecuador,1
63,El Salvador,1
64,Equatorial Guinea,1
65,Eritrea,1
66,Canada,1
67,Kampala [Uganda],1
68,Philippines,1
69,Malaysia,1
70,Namibia,1
71,Niger,1
72,Not collected,1
73,Pakistan,1
74,Papua New Guinea,1
75,Afghanistan,1
