,country_only,base_count
0,Afghanistan,5063764
1,Angola,4444210180
2,Australia,789863328626
3,Bangladesh,11686271002
4,Belgium,19669289974
5,Benin,293346775
6,Brazil,110326507789
7,Burkina Faso,32486506547
8,Burundi,86514129
9,Cambodia,879269379346
10,Cameroon,17659032878
11,Canada,2531007864
12,Central African Republic,679160871
13,Chad,2419250
14,China,1705160707581
15,Cote d'Ivoire,2641724903
16,Cuba,1839
17,Democratic Republic of the Congo,318270778283
18,Dominican Republic,96936978
19,Ecuador,325443625800
20,El Salvador,7747649198
21,Equatorial Guinea,98720
22,Eritrea,337406684
23,Ethiopia,254782407542
24,France,1025206119232
25,French Guiana,421044725054
26,Gabon,66636114
27,Gambia,1898078308778
28,Ghana,255080433837
29,Guinea,35147586497
30,Guinea-Bissau,56115518314
31,Guyana,152638843598
32,Haiti,37228908013
33,India,107930019826
34,Indonesia,1563476051
35,Italy,231483
36,Jamaica,11895293
37,Japan,202915410250
38,Kampala [Uganda],56238558612
39,Kenya,332450907994
40,Laos,129785655748
41,Liberia,1534388080
42,Madagascar,14611471841
43,Malawi,1574377867076
44,Malaysia,6218638074
45,Mali,607304613557
46,Mozambique,504544878434
47,Myanmar,91949347016
48,Namibia,13465777736
49,Netherlands,1179151715847
50,Niger,6639786276
51,Nigeria,13335016386
52,Not collected,9791079000
53,Pakistan,14500978
54,Papua New Guinea,2965182382
55,Peru,47992741330
56,Philippines,7753455082
57,Republic of the Congo,4321543594
58,Rwanda,132384844632
59,Saudi Arabia,64800174
60,Senegal,2698435273712
61,Sierra Leone,13521937248
62,South Africa,1540073701
63,South Sudan,3672065
64,Spain,125813540266
65,Sudan,139503520
66,Sweden,9882071943
67,Switzerland,21662186584
68,Tanzania,668726255595
69,Thailand,1626700165284
70,Togo,288985546288
71,USA,1559700029023
72,Uganda,466771051477
73,United Kingdom,1914467700382
74,Venezuela,5993638
75,Viet Nam,28354473666
76,Vietnam,9012226162
77,Zambia,54085433439
78,missing,620009616831
