,country_only,instrument_platform,size
0,Afghanistan,ILLUMINA,1
1,Angola,ILLUMINA,181
2,Australia,ILLUMINA,162
3,Australia,OXFORD_NANOPORE,7
4,Bangladesh,ILLUMINA,47
5,Belgium,ILLUMINA,36
6,Belgium,OXFORD_NANOPORE,4
7,Benin,ILLUMINA,2
8,Benin,OXFORD_NANOPORE,1
9,Benin,PACBIO_SMRT,2
10,Brazil,ILLUMINA,77
11,Brazil,PACBIO_SMRT,4
12,Burkina Faso,ILLUMINA,880
13,Burkina Faso,LS454,3
14,Burundi,ILLUMINA,2
15,Cambodia,ILLUMINA,550
16,Cambodia,OXFORD_NANOPORE,1
17,Cambodia,PACBIO_SMRT,41
18,Cameroon,ABI_SOLID,1
19,Cameroon,ILLUMINA,106
20,Canada,ILLUMINA,24
21,Central African Republic,ILLUMINA,1
22,Central African Republic,OXFORD_NANOPORE,12
23,Chad,ILLUMINA,1
24,China,BGISEQ,36
25,China,ILLUMINA,165
26,Cote d'Ivoire,ILLUMINA,26
27,Cuba,ILLUMINA,1
28,Democratic Republic of the Congo,ILLUMINA,4640
29,Dominican Republic,ILLUMINA,2
30,Ecuador,ILLUMINA,67
31,El Salvador,ILLUMINA,5
32,Equatorial Guinea,CAPILLARY,214
33,Eritrea,ILLUMINA,148
34,Ethiopia,ILLUMINA,1017
35,France,ILLUMINA,566
36,France,OXFORD_NANOPORE,7
37,France,PACBIO_SMRT,9
38,French Guiana,ILLUMINA,365
39,Gabon,ILLUMINA,3
40,Gambia,DNBSEQ,22
41,Gambia,ILLUMINA,162
42,Gambia,LS454,1
43,Gambia,PACBIO_SMRT,27
44,Ghana,ILLUMINA,21234
45,Ghana,LS454,3
46,Ghana,PACBIO_SMRT,40
47,Guinea,ILLUMINA,295
48,Guinea,PACBIO_SMRT,4
49,Guinea-Bissau,ILLUMINA,22
50,Guyana,ILLUMINA,155
51,Haiti,ILLUMINA,138
52,India,ILLUMINA,62
53,Indonesia,ILLUMINA,1
54,Indonesia,OXFORD_NANOPORE,258
55,Italy,ILLUMINA,4
56,Jamaica,ILLUMINA,1
57,Japan,ILLUMINA,26
58,Japan,OXFORD_NANOPORE,11
59,Kampala [Uganda],ILLUMINA,22
60,Kenya,ABI_SOLID,5
61,Kenya,ILLUMINA,27563
62,Laos,ILLUMINA,16
63,Laos,PACBIO_SMRT,10
64,Liberia,ILLUMINA,51
65,Madagascar,ILLUMINA,621
66,Malawi,ILLUMINA,923
67,Malawi,PACBIO_SMRT,19
68,Malaysia,ILLUMINA,5
69,Mali,ILLUMINA,2958
70,Mali,LS454,4
71,Mali,PACBIO_SMRT,98
72,Mozambique,ILLUMINA,1013
73,Myanmar,ILLUMINA,61
74,Myanmar,PACBIO_SMRT,20
75,Namibia,ILLUMINA,17
76,Netherlands,ILLUMINA,282
77,Netherlands,PACBIO_SMRT,4
78,Niger,ILLUMINA,2
79,Nigeria,ILLUMINA,109
80,Not collected,ILLUMINA,6
81,Pakistan,ILLUMINA,3
82,Papua New Guinea,ILLUMINA,1
83,Peru,ILLUMINA,361
84,Philippines,ILLUMINA,5
85,Republic of the Congo,ILLUMINA,2
86,Rwanda,ILLUMINA,37
87,Saudi Arabia,ILLUMINA,1
88,Senegal,ILLUMINA,968
89,Sierra Leone,ILLUMINA,126
90,South Africa,ILLUMINA,3
91,South Africa,OXFORD_NANOPORE,1
92,South Sudan,ILLUMINA,1
93,Spain,ILLUMINA,61
94,Sudan,ILLUMINA,5
95,Sweden,ILLUMINA,4
96,Sweden,LS454,4
97,Switzerland,ILLUMINA,3
98,Switzerland,OXFORD_NANOPORE,30
99,Tanzania,ILLUMINA,3947
100,Thailand,ILLUMINA,809
101,Thailand,ION_TORRENT,1
102,Thailand,OXFORD_NANOPORE,5
103,Togo,ILLUMINA,46
104,USA,ILLUMINA,664
105,USA,LS454,12
106,USA,OXFORD_NANOPORE,20
107,USA,PACBIO_SMRT,10
108,Uganda,ABI_SOLID,2
109,Uganda,BGISEQ,1
110,Uganda,ILLUMINA,6834
111,United Kingdom,ILLUMINA,67
112,United Kingdom,PACBIO_SMRT,3
113,Venezuela,ILLUMINA,1
114,Viet Nam,ILLUMINA,650
115,Vietnam,ILLUMINA,5
116,Zambia,ILLUMINA,549
117,Zambia,OXFORD_NANOPORE,56
118,missing,DNBSEQ,12
119,missing,ILLUMINA,217
