,collection_date,first_public,time_diff_days,country
DRR079308,2015-05-27,2018-06-03,1103,Uganda
DRR079309,2016-06-22,2018-06-03,711,Uganda
DRR508163,2022-12-31,2023-10-21,294,Japan
DRR508165,2022-12-31,2023-10-21,294,Japan
DRR508167,2023-05-10,2023-10-21,164,Japan
DRR079307,2015-06-02,2018-06-03,1097,Uganda
DRR508164,2022-12-15,2023-10-21,310,Japan
DRR508169,2023-05-10,2023-10-21,164,Japan
DRR508171,2023-05-18,2023-10-21,156,Japan
DRR508161,2022-12-15,2023-10-21,310,Japan
DRR508162,2022-12-31,2023-10-21,294,Japan
DRR508166,2022-12-31,2023-10-21,294,Japan
DRR508168,2023-05-10,2023-10-21,164,Japan
DRR508170,2023-05-18,2023-10-21,156,Japan
DRR508172,2023-05-18,2023-10-21,156,Japan
ERR11683683,2021-02-17,2023-07-11,874,United Kingdom
ERR11683684,2021-02-17,2023-07-11,874,United Kingdom
ERR11683686,2021-02-17,2023-07-11,874,United Kingdom
ERR11683687,2021-02-17,2023-07-11,874,United Kingdom
ERR11683689,2021-02-17,2023-07-11,874,United Kingdom
ERR11683693,2021-02-17,2023-07-11,874,United Kingdom
ERR11683701,2021-02-17,2023-07-11,874,United Kingdom
ERR11683707,2021-02-17,2023-07-11,874,United Kingdom
ERR11683708,2021-02-17,2023-07-11,874,United Kingdom
ERR11683715,2021-02-17,2023-07-11,874,United Kingdom
ERR11683717,2021-02-17,2023-07-11,874,United Kingdom
ERR11683718,2021-02-17,2023-07-11,874,United Kingdom
ERR11683722,2021-02-17,2023-07-11,874,United Kingdom
ERR11683725,2021-02-17,2023-07-11,874,United Kingdom
ERR11683727,2021-02-17,2023-07-11,874,United Kingdom
ERR11683728,2021-02-17,2023-07-11,874,United Kingdom
ERR11683729,2021-02-17,2023-07-11,874,United Kingdom
ERR11683730,2021-02-17,2023-07-11,874,United Kingdom
ERR11683737,2021-02-17,2023-07-11,874,United Kingdom
ERR11683739,2021-02-17,2023-07-11,874,United Kingdom
ERR11683740,2021-02-17,2023-07-11,874,United Kingdom
ERR10502667,2018-02-12,2022-11-21,1743,Belgium
ERR10502668,2019-12-20,2022-11-21,1067,Belgium
ERR11683680,2021-02-17,2023-07-11,874,United Kingdom
ERR11683685,2021-02-17,2023-07-11,874,United Kingdom
ERR11683688,2021-02-17,2023-07-11,874,United Kingdom
ERR11683692,2021-02-17,2023-07-11,874,United Kingdom
ERR11683695,2021-02-17,2023-07-11,874,United Kingdom
ERR11683697,2021-02-17,2023-07-11,874,United Kingdom
ERR11683702,2021-02-17,2023-07-11,874,United Kingdom
ERR11683703,2021-02-17,2023-07-11,874,United Kingdom
ERR11683704,2021-02-17,2023-07-11,874,United Kingdom
ERR11683709,2021-02-17,2023-07-11,874,United Kingdom
ERR11683710,2021-02-17,2023-07-11,874,United Kingdom
ERR11683721,2021-02-17,2023-07-11,874,United Kingdom
ERR11683731,2021-02-17,2023-07-11,874,United Kingdom
ERR11683733,2021-02-17,2023-07-11,874,United Kingdom
ERR11683734,2021-02-17,2023-07-11,874,United Kingdom
ERR11683736,2021-02-17,2023-07-11,874,United Kingdom
ERR11683738,2021-02-17,2023-07-11,874,United Kingdom
ERR11683679,2021-02-17,2023-07-11,874,United Kingdom
ERR11683681,2021-02-17,2023-07-11,874,United Kingdom
ERR11683682,2021-02-17,2023-07-11,874,United Kingdom
ERR11683690,2021-02-17,2023-07-11,874,United Kingdom
ERR11683691,2021-02-17,2023-07-11,874,United Kingdom
ERR11683694,2021-02-17,2023-07-11,874,United Kingdom
ERR11683696,2021-02-17,2023-07-11,874,United Kingdom
ERR11683698,2021-02-17,2023-07-11,874,United Kingdom
ERR11683699,2021-02-17,2023-07-11,874,United Kingdom
ERR11683700,2021-02-17,2023-07-11,874,United Kingdom
ERR11683705,2021-02-17,2023-07-11,874,United Kingdom
ERR11683706,2021-02-17,2023-07-11,874,United Kingdom
ERR11683711,2021-02-17,2023-07-11,874,United Kingdom
ERR11683712,2021-02-17,2023-07-11,874,United Kingdom
ERR11683713,2021-02-17,2023-07-11,874,United Kingdom
ERR11683714,2021-02-17,2023-07-11,874,United Kingdom
ERR11683716,2021-02-17,2023-07-11,874,United Kingdom
ERR11683719,2021-02-17,2023-07-11,874,United Kingdom
ERR11683720,2021-02-17,2023-07-11,874,United Kingdom
ERR11683723,2021-02-17,2023-07-11,874,United Kingdom
ERR11683724,2021-02-17,2023-07-11,874,United Kingdom
ERR11683726,2021-02-17,2023-07-11,874,United Kingdom
ERR11683732,2021-02-17,2023-07-11,874,United Kingdom
ERR11683735,2021-02-17,2023-07-11,874,United Kingdom
ERR12246920,2017-04-15,2023-11-07,2397,Gambia
ERR12246924,2017-04-15,2023-11-07,2397,Gambia
ERR12246926,2017-03-15,2023-11-07,2428,Gambia
ERR12246928,2017-03-15,2023-11-07,2428,Gambia
ERR12246931,2017-04-15,2023-11-07,2397,Gambia
ERR12246937,2017-03-15,2023-11-07,2428,Gambia
ERR12246942,2017-04-15,2023-11-07,2397,Gambia
ERR12246946,2017-04-15,2023-11-07,2397,Gambia
ERR12246951,2017-02-15,2023-11-07,2456,Gambia
ERR12246956,2017-04-15,2023-11-07,2397,Gambia
ERR12246957,2017-04-15,2023-11-07,2397,Gambia
ERR12246958,2017-03-15,2023-11-07,2428,Gambia
ERR12246960,2017-02-15,2023-11-07,2456,Gambia
ERR12246962,2017-04-15,2023-11-07,2397,Gambia
ERR12246964,2017-04-15,2023-11-07,2397,Gambia
ERR12246966,2017-04-15,2023-11-07,2397,Gambia
ERR12246974,2017-04-15,2023-11-07,2397,Gambia
ERR12246975,2017-04-15,2023-11-07,2397,Gambia
ERR12246977,2017-04-15,2023-11-07,2397,Gambia
ERR12246978,2017-03-15,2023-11-07,2428,Gambia
ERR12246979,2017-03-15,2023-11-07,2428,Gambia
ERR12246984,2017-04-15,2023-11-07,2397,Gambia
ERR12246991,2017-04-15,2023-11-07,2397,Gambia
ERR12246992,2017-04-15,2023-11-07,2397,Gambia
ERR12262261,2017-03-15,2023-11-14,2435,Gambia
ERR12262265,2017-02-15,2023-11-14,2463,Gambia
ERR12262267,2017-02-15,2023-11-14,2463,Gambia
ERR12262268,2017-02-15,2023-11-14,2463,Gambia
ERR12262269,2017-02-15,2023-11-14,2463,Gambia
ERR12262273,2017-02-15,2023-11-14,2463,Gambia
ERR12262281,2017-02-15,2023-11-14,2463,Gambia
ERR12262288,2017-03-15,2023-11-14,2435,Gambia
ERR12262291,2017-02-15,2023-11-14,2463,Gambia
ERR12262293,2017-02-15,2023-11-14,2463,Gambia
ERR12262294,2017-02-15,2023-11-14,2463,Gambia
ERR12262295,2017-02-15,2023-11-14,2463,Gambia
ERR12262300,2017-02-15,2023-11-14,2463,Gambia
ERR12262302,2017-02-15,2023-11-14,2463,Gambia
ERR12262306,2017-02-15,2023-11-14,2463,Gambia
ERR12262308,2017-02-15,2023-11-14,2463,Gambia
ERR12262314,2017-02-15,2023-11-14,2463,Gambia
ERR12262315,2017-02-15,2023-11-14,2463,Gambia
ERR12262319,2017-02-15,2023-11-14,2463,Gambia
ERR12262320,2017-02-15,2023-11-14,2463,Gambia
ERR12262321,2017-02-15,2023-11-14,2463,Gambia
ERR12262323,2017-02-15,2023-11-14,2463,Gambia
ERR12263801,2017-04-19,2023-11-14,2400,Gambia
ERR12263804,2016-11-07,2023-11-14,2563,Gambia
ERR12263805,2017-04-20,2023-11-14,2399,Gambia
ERR12263807,2016-11-21,2023-11-14,2549,Gambia
ERR12263809,2021-12-20,2023-11-14,694,United Kingdom
ERR12263811,2016-10-17,2023-11-14,2584,Gambia
ERR12263813,2016-11-23,2023-11-14,2547,Gambia
ERR12263816,2016-11-23,2023-11-14,2547,Gambia
ERR12263817,2016-12-23,2023-11-14,2517,Gambia
ERR12263818,2017-02-13,2023-11-14,2465,Gambia
ERR12263820,2016-11-21,2023-11-14,2549,Gambia
ERR12263823,2016-11-21,2023-11-14,2549,Gambia
ERR12263825,2016-08-11,2023-11-14,2651,Gambia
ERR12263827,2016-11-21,2023-11-14,2549,Gambia
ERR12263828,2016-10-17,2023-11-14,2584,Gambia
