,collection_date,first_public,time_diff_days,country
AB516459,1980-03-12,2018-08-06,14026,Brazil
AB516460,1980-03-12,2018-08-06,14026,Brazil
AB516461,1980-03-12,2018-08-06,14026,Brazil
AB516454,1980-03-12,2018-08-06,14026,Brazil
AB516457,1980-03-12,2018-08-06,14026,Brazil
AB516462,1980-03-12,2018-08-06,14026,Brazil
AB250683,2005-10-27,2006-02-18,114,Japan
AB516455,1980-03-12,2018-08-06,14026,Brazil
AB516463,1980-03-12,2018-08-06,14026,Brazil
LC483576,2019-04-26,2019-06-18,53,India
LC498197,2017-06-22,2019-09-06,806,Uganda
LC498203,2017-06-27,2019-09-06,801,Uganda
LC498209,2017-07-04,2019-09-06,794,Uganda
LC498216,2015-10-14,2019-09-06,1423,Uganda
LC498222,2015-06-10,2019-09-06,1549,Uganda
LC498225,2014-10-21,2019-09-06,1781,Uganda
LC498227,2014-10-31,2019-09-06,1771,Uganda
LC498232,2013-10-24,2019-09-06,2143,Uganda
LC498236,2015-05-28,2019-09-06,1562,Uganda
LC498243,2015-05-27,2019-09-06,1563,Uganda
AB516456,1980-03-12,2018-08-06,14026,Brazil
AB516458,1980-03-12,2018-08-06,14026,Brazil
MW001373,2012-01-09,2021-10-28,3580,Sao Tome and Principe
MW001387,2010-03-16,2021-10-28,4244,Sao Tome and Principe
MW001393,2010-03-15,2021-10-28,4245,Sao Tome and Principe
MW001394,2012-07-17,2021-10-28,3390,Sao Tome and Principe
MW001397,2010-05-03,2021-10-28,4196,Sao Tome and Principe
MW001399,2010-05-27,2021-10-28,4172,Sao Tome and Principe
MW001400,2010-05-14,2021-10-28,4185,Sao Tome and Principe
MW001403,2012-01-23,2021-10-28,3566,Sao Tome and Principe
MW001409,2010-09-01,2021-10-28,4075,Sao Tome and Principe
LC498196,2017-06-20,2019-09-06,808,Uganda
LC498199,2017-06-23,2019-09-06,805,Uganda
LC498201,2017-06-25,2019-09-06,803,Uganda
LC498210,2017-07-04,2019-09-06,794,Uganda
LC498223,2015-05-27,2019-09-06,1563,Uganda
LC498224,2014-11-07,2019-09-06,1764,Uganda
LC498226,2014-10-27,2019-09-06,1775,Uganda
LC498230,2014-05-22,2019-09-06,1933,Uganda
LC498234,2015-05-29,2019-09-06,1561,Uganda
LC498240,2015-06-04,2019-09-06,1555,Uganda
