,country,country_code,count,log_count,text
Thailand,Thailand,THA,815,6.703188113240863,Country : Thailand<br>Count: 815
Indonesia,Indonesia,IDN,259,5.556828061699537,Country : Indonesia<br>Count: 259
Japan,Japan,JPN,37,3.6109179126442243,Country : Japan<br>Count: 37
Guinea-Bissau,Guinea-Bissau,GNB,22,3.091042453358316,Country : Guinea-Bissau<br>Count: 22
United Kingdom,United Kingdom,GBR,70,4.248495242049359,Country : United Kingdom<br>Count: 70
France,France,FRA,582,6.366470447731438,Country : France<br>Count: 582
Uganda,Uganda,UGA,6859,8.83331693749932,"Country : Uganda<br>Count: 6,859"
Belgium,Belgium,BEL,40,3.6888794541139363,Country : Belgium<br>Count: 40
Gambia,Gambia,GMB,212,5.356586274672012,Country : Gambia<br>Count: 212
Australia,Australia,AUS,169,5.1298987149230735,Country : Australia<br>Count: 169
Spain,Spain,ESP,61,4.110873864173311,Country : Spain<br>Count: 61
China,China,CHN,201,5.303304908059076,Country : China<br>Count: 201
Rwanda,Rwanda,RWA,37,3.6109179126442243,Country : Rwanda<br>Count: 37
Peru,Peru,PER,361,5.8888779583328805,Country : Peru<br>Count: 361
USA,USA,USA,706,6.559615237493242,Country : United States<br>Count: 706
Cote d'Ivoire,Cote d'Ivoire,CIV,26,3.258096538021482,Country : Côte d'Ivoire<br>Count: 26
Malawi,Malawi,MWI,942,6.848005274576363,Country : Malawi<br>Count: 942
Nigeria,Nigeria,NGA,109,4.6913478822291435,Country : Nigeria<br>Count: 109
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,4640,8.442469645220301,"Country : Congo, The Democratic Republic of the<br>Count: 4,640"
Sierra Leone,Sierra Leone,SLE,126,4.836281906951478,Country : Sierra Leone<br>Count: 126
Cameroon,Cameroon,CMR,107,4.672828834461906,Country : Cameroon<br>Count: 107
Guinea,Guinea,GIN,299,5.700443573390687,Country : Guinea<br>Count: 299
Ghana,Ghana,GHA,21277,9.965381956073719,"Country : Ghana<br>Count: 21,277"
Saudi Arabia,Saudi Arabia,SAU,1,0.0,Country : Saudi Arabia<br>Count: 1
Mali,Mali,MLI,3060,8.026170194946426,"Country : Mali<br>Count: 3,060"
Sudan,Sudan,SDN,5,1.6094379124341003,Country : Sudan<br>Count: 5
Liberia,Liberia,LBR,51,3.9318256327243257,Country : Liberia<br>Count: 51
Togo,Togo,TGO,46,3.828641396489095,Country : Togo<br>Count: 46
Burundi,Burundi,BDI,2,0.6931471805599453,Country : Burundi<br>Count: 2
Benin,Benin,BEN,5,1.6094379124341003,Country : Benin<br>Count: 5
Senegal,Senegal,SEN,968,6.875232087276577,Country : Senegal<br>Count: 968
Kenya,Kenya,KEN,27568,10.224410958767711,"Country : Kenya<br>Count: 27,568"
Niger,Niger,NER,2,0.6931471805599453,Country : Niger<br>Count: 2
Burkina Faso,Burkina Faso,BFA,883,6.78332520060396,Country : Burkina Faso<br>Count: 883
Netherlands,Netherlands,NLD,286,5.655991810819852,Country : Netherlands<br>Count: 286
Guyana,Guyana,GUY,155,5.043425116919247,Country : Guyana<br>Count: 155
Dominican Republic,Dominican Republic,DOM,2,0.6931471805599453,Country : Dominican Republic<br>Count: 2
Haiti,Haiti,HTI,138,4.927253685157205,Country : Haiti<br>Count: 138
Tanzania,Tanzania,TZA,3947,8.280711075662847,"Country : Tanzania, United Republic of<br>Count: 3,947"
Mozambique,Mozambique,MOZ,1013,6.920671504248683,"Country : Mozambique<br>Count: 1,013"
Cambodia,Cambodia,KHM,592,6.3835066348840055,Country : Cambodia<br>Count: 592
Ethiopia,Ethiopia,ETH,1017,6.92461239604856,"Country : Ethiopia<br>Count: 1,017"
Angola,Angola,AGO,181,5.198497031265826,Country : Angola<br>Count: 181
Madagascar,Madagascar,MDG,621,6.431331081933479,Country : Madagascar<br>Count: 621
