,country,country_code,count,log_count,text
Viet Nam,Viet Nam,VNM,654,6.483107351457199,Country : Viet Nam<br>Count: 654
Uganda,Uganda,UGA,4874,8.491670234185152,"Country : Uganda<br>Count: 4,874"
Malaysia,Malaysia,MYS,644,6.467698726104354,Country : Malaysia<br>Count: 644
Philippines,Philippines,PHL,848,6.742880635791903,Country : Philippines<br>Count: 848
Cameroon,Cameroon,CMR,304,5.717027701406222,Country : Cameroon<br>Count: 304
India,India,IND,6551,8.787372988731876,"Country : India<br>Count: 6,551"
Iran,Iran,IRN,723,6.583409222158765,"Country : Iran, Islamic Republic of<br>Count: 723"
Kenya,Kenya,KEN,14420,9.57637141083894,"Country : Kenya<br>Count: 14,420"
Senegal,Senegal,SEN,4509,8.413830678421084,"Country : Senegal<br>Count: 4,509"
Honduras,Honduras,HND,88,4.477336814478207,Country : Honduras<br>Count: 88
Laos,Laos,LAO,41,3.713572066704308,Country : Lao People's Democratic Republic<br>Count: 41
Brazil,Brazil,BRA,1459,7.285506548522785,"Country : Brazil<br>Count: 1,459"
Papua New Guinea,Papua New Guinea,PNG,3289,8.098338846189057,"Country : Papua New Guinea<br>Count: 3,289"
Sudan,Sudan,SDN,356,5.87493073085203,Country : Sudan<br>Count: 356
El Salvador,El Salvador,SLV,8,2.0794415416798357,Country : El Salvador<br>Count: 8
Mali,Mali,MLI,712,6.568077911411976,Country : Mali<br>Count: 712
South Africa,South Africa,ZAF,16,2.772588722239781,Country : South Africa<br>Count: 16
Ghana,Ghana,GHA,1659,7.413970290190444,"Country : Ghana<br>Count: 1,659"
Liberia,Liberia,LBR,81,4.394449154672439,Country : Liberia<br>Count: 81
Thailand,Thailand,THA,3263,8.09040229659332,"Country : Thailand<br>Count: 3,263"
Gambia,Gambia,GMB,916,6.82001636467413,Country : Gambia<br>Count: 916
Tanzania,Tanzania,TZA,1024,6.931471805599453,"Country : Tanzania, United Republic of<br>Count: 1,024"
Solomon Islands,Solomon Islands,SLB,482,6.1779441140506,Country : Solomon Islands<br>Count: 482
Venezuela,Venezuela,VEN,821,6.710523109452428,"Country : Venezuela, Bolivarian Republic of<br>Count: 821"
Vanuatu,Vanuatu,VUT,642,6.464588303689961,Country : Vanuatu<br>Count: 642
Malawi,Malawi,MWI,1800,7.495541943884256,"Country : Malawi<br>Count: 1,800"
Madagascar,Madagascar,MDG,88,4.477336814478207,Country : Madagascar<br>Count: 88
Bangladesh,Bangladesh,BGD,79,4.3694478524670215,Country : Bangladesh<br>Count: 79
Myanmar,Myanmar,MMR,1211,7.099201743553092,"Country : Myanmar<br>Count: 1,211"
China,China,CHN,979,6.88653164253051,Country : China<br>Count: 979
