,country,center_names
0,USA,6454
1,India,226
2,South Africa,190
3,United Kingdom,81
4,Italy,75
5,Australia,58
6,Germany,49
7,Pakistan,41
8,Brazil,41
9,China,39
10,Canada,39
11,Bangladesh,31
12,Angola,27
13,Mozambique,23
14,Mauritius,23
15,Switzerland,23
16,Spain,20
17,Japan,20
18,France,19
19,Philippines,18
20,Iraq,15
21,Qatar,14
22,Slovakia,13
23,Morocco,13
24,Greece,13
25,Zimbabwe,13
26,Belgium,13
27,Hong Kong,12
28,Peru,12
29,Malaysia,12
30,Thailand,11
31,Kenya,11
32,Mexico,10
33,Malawi,10
34,Netherlands,9
35,South Korea,9
36,Cameroon,8
37,Russia,8
38,Jordan,8
39,Ethiopia,8
40,Myanmar,7
41,Ireland,7
42,Israel,7
43,Dominican Republic,7
44,Uruguay,6
45,Argentina,6
46,Egypt,6
47,Kazakhstan,6
48,Chile,6
49,Denmark,6
50,Czech Republic,6
51,Singapore,5
52,Saudi Arabia,5
53,Ecuador,4
54,Sweden,4
55,Romania,4
56,Turkey,4
57,Costa Rica,3
58,Estonia,3
59,Croatia,3
60,Norway,3
61,Liechtenstein,3
62,Kuwait,3
63,United Arab Emirates,2
64,Uganda,2
65,Nigeria,2
66,Serbia,2
67,Timor-Leste,2
68,Poland,2
69,missing,2
70,Finland,2
71,Colombia,2
72,Austria,2
73,Moldova,2
74,Malta,2
75,Bhutan,2
76,Equatorial Guinea,2
77,Hungary,2
78,State of Palestine,1
79,Eswatini,1
80,Curacao,1
81,New Zealand,1
82,Tunisia,1
83,Cambodia,1
84,Sri Lanka,1
85,Bulgaria,1
86,Botswana,1
87,Bermuda,1
88,Burkina Faso,1
89,Ghana,1
90,Nepal,1
91,Guatemala,1
92,Slovenia,1
93,Indonesia,1
94,Seychelles,1
95,Iran,1
96,Kosovo,1
97,Rwanda,1
98,Latvia,1
99,Lesotho,1
100,Libya,1
101,Portugal,1
102,Namibia,1
103,Lebanon,1
