,country_only,base_count
0,Angola,97534625893
1,Argentina,148390794582
2,Australia,2464633632339
3,Austria,19902776686652
4,Bangladesh,122227325606
5,Belgium,46394108247
6,Bermuda,16875405078
7,Bhutan,20497595755
8,Botswana,2722610958
9,Brazil,1032114224554
10,Bulgaria,609286468
11,Burkina Faso,548305153
12,Cambodia,1127430980
13,Cameroon,136277826133
14,Canada,1465770631672
15,Chile,43874261143
16,China,3740992449351
17,Colombia,60202579
18,Costa Rica,22472694954
19,Croatia,11825064765
20,Curacao,30661053
21,Czech Republic,37382893359
22,Denmark,1909216365886
23,Dominican Republic,1267774250
24,Ecuador,130529945693
25,Egypt,173254326259
26,Equatorial Guinea,2120374228
27,Estonia,3041226032500
28,Eswatini,168595618
29,Ethiopia,128270878397
30,Finland,6618692866012
31,France,535516504696
32,Germany,2511054462800
33,Ghana,73308122918
34,Greece,1416985308363
35,Guatemala,2488487248
36,Hong Kong,4434344167940
37,Hungary,5289911606
38,India,5122100841614
39,Indonesia,4130912893
40,Iran,9111214066
41,Iraq,246888315406
42,Ireland,3581860511525
43,Israel,101246586303
44,Italy,595983174717
45,Japan,170432305508
46,Jordan,172770951668
47,Kazakhstan,50988307764
48,Kenya,4248975257
49,Kosovo,0
50,Kuwait,22135928993
51,Latvia,920450562394
52,Lebanon,77291144627
53,Lesotho,358498154
54,Libya,29718601082
55,Liechtenstein,37324455692
56,Malawi,57468770893
57,Malaysia,13322379158
58,Malta,1330507869
59,Mauritius,162011629786
60,Mexico,1201076689836
61,Moldova,1740169695
62,Morocco,8297042081
63,Mozambique,65707747688
64,Myanmar,21255328911
65,Namibia,8675653763
66,Nepal,2817120987
67,Netherlands,766926123625
68,New Zealand,159441577
69,Nigeria,7542329776
70,Northern Mariana Islands,348745217275
71,Norway,9540444454143
72,Pakistan,102453614693
73,Palau,2190544116
74,Peru,200269453939
75,Philippines,42646058619
76,Poland,237734542138
77,Portugal,4394460782908
78,Qatar,292355518052
79,Romania,19768171948
80,Russia,347619066089
81,Rwanda,9568617023
82,Saudi Arabia,1118237785936
83,Serbia,370858301
84,Seychelles,5126035381
85,Singapore,16314663585
86,Slovakia,3593044962981
87,Slovenia,3436684511073
88,South Africa,1807513488136
89,South Korea,17221871806
90,Spain,4947992561491
91,Sri Lanka,38402673654
92,State of Palestine,10024612251
93,Sweden,196467033242
94,Switzerland,56761753649373
95,Thailand,129782531233
96,Timor-Leste,3981983944
97,Tunisia,4356561081
98,Turkey,6951450959
99,USA,1443211341494502
100,Uganda,13363524250
101,United Arab Emirates,131325503503
102,United Kingdom,1296461672671162
103,Uruguay,8362283259
104,Zimbabwe,60068459016
105,missing,3083816467
