,instrument_platform,country_only,size
0,ABI_SOLID,India,5
1,BGISEQ,Brazil,1
2,BGISEQ,China,279
3,BGISEQ,USA,30
4,BGISEQ,United Arab Emirates,1067
5,CAPILLARY,Brazil,3
6,CAPILLARY,USA,89
7,DNBSEQ,Brazil,33
8,DNBSEQ,Latvia,36
9,DNBSEQ,Qatar,325
10,ELEMENT,USA,33060
11,ILLUMINA,Angola,1460
12,ILLUMINA,Argentina,1512
13,ILLUMINA,Australia,15524
14,ILLUMINA,Austria,20744
15,ILLUMINA,Bangladesh,476
16,ILLUMINA,Belgium,169
17,ILLUMINA,Bermuda,123
18,ILLUMINA,Bhutan,105
19,ILLUMINA,Botswana,52
20,ILLUMINA,Brazil,6488
21,ILLUMINA,Bulgaria,6
22,ILLUMINA,Burkina Faso,13
23,ILLUMINA,Cambodia,1
24,ILLUMINA,Cameroon,935
25,ILLUMINA,Canada,4067
26,ILLUMINA,Chile,420
27,ILLUMINA,China,4987
28,ILLUMINA,Costa Rica,380
29,ILLUMINA,Croatia,32
30,ILLUMINA,Czech Republic,88
31,ILLUMINA,Denmark,12588
32,ILLUMINA,Dominican Republic,7
33,ILLUMINA,Ecuador,649
34,ILLUMINA,Egypt,435
35,ILLUMINA,Equatorial Guinea,43
36,ILLUMINA,Estonia,30867
37,ILLUMINA,Ethiopia,1079
38,ILLUMINA,Finland,12053
39,ILLUMINA,France,1935
40,ILLUMINA,Germany,1182
41,ILLUMINA,Ghana,53
42,ILLUMINA,Greece,8447
43,ILLUMINA,Guatemala,6
44,ILLUMINA,Hong Kong,3411
45,ILLUMINA,Hungary,20
46,ILLUMINA,India,16098
47,ILLUMINA,Iran,3
48,ILLUMINA,Iraq,659
49,ILLUMINA,Ireland,16681
50,ILLUMINA,Israel,1462
51,ILLUMINA,Italy,2964
52,ILLUMINA,Japan,351
53,ILLUMINA,Jordan,319
54,ILLUMINA,Kazakhstan,53
55,ILLUMINA,Kosovo,1
56,ILLUMINA,Kuwait,27
57,ILLUMINA,Latvia,2885
58,ILLUMINA,Lebanon,903
59,ILLUMINA,Lesotho,5
60,ILLUMINA,Libya,124
61,ILLUMINA,Liechtenstein,74
62,ILLUMINA,Malawi,874
63,ILLUMINA,Malaysia,106
64,ILLUMINA,Mauritius,1484
65,ILLUMINA,Mexico,4829
66,ILLUMINA,Moldova,19
67,ILLUMINA,Morocco,1
68,ILLUMINA,Mozambique,949
69,ILLUMINA,Myanmar,64
70,ILLUMINA,Namibia,130
71,ILLUMINA,Nepal,1
72,ILLUMINA,Netherlands,2929
73,ILLUMINA,Nigeria,33
74,ILLUMINA,Northern Mariana Islands,2577
75,ILLUMINA,Norway,22995
76,ILLUMINA,Pakistan,1225
77,ILLUMINA,Palau,13
78,ILLUMINA,Peru,848
79,ILLUMINA,Philippines,85
80,ILLUMINA,Poland,1744
81,ILLUMINA,Portugal,47255
82,ILLUMINA,Qatar,1097
83,ILLUMINA,Romania,42
84,ILLUMINA,Russia,372
85,ILLUMINA,Saudi Arabia,891
86,ILLUMINA,Serbia,2
87,ILLUMINA,Seychelles,82
88,ILLUMINA,Singapore,65
89,ILLUMINA,Slovakia,41349
90,ILLUMINA,Slovenia,614
91,ILLUMINA,South Africa,17675
92,ILLUMINA,South Korea,58
93,ILLUMINA,Spain,54353
94,ILLUMINA,State of Palestine,69
95,ILLUMINA,Sweden,5
96,ILLUMINA,Switzerland,135815
97,ILLUMINA,Thailand,1084
98,ILLUMINA,Timor-Leste,21
99,ILLUMINA,Tunisia,6
100,ILLUMINA,Turkey,46
101,ILLUMINA,USA,2383517
102,ILLUMINA,Uganda,99
103,ILLUMINA,United Kingdom,2533806
104,ILLUMINA,Uruguay,4
105,ILLUMINA,Zimbabwe,874
106,ILLUMINA,missing,54
107,ION_TORRENT,Australia,112
108,ION_TORRENT,Bangladesh,22
109,ION_TORRENT,Belgium,8
110,ION_TORRENT,Brazil,18
111,ION_TORRENT,China,5
112,ION_TORRENT,Czech Republic,12
113,ION_TORRENT,Egypt,1
114,ION_TORRENT,France,125
115,ION_TORRENT,India,5559
116,ION_TORRENT,Italy,247
117,ION_TORRENT,Japan,8
118,ION_TORRENT,Kenya,4
119,ION_TORRENT,Malaysia,6
120,ION_TORRENT,Morocco,19
121,ION_TORRENT,Pakistan,20
122,ION_TORRENT,Russia,24
123,ION_TORRENT,Spain,724
124,ION_TORRENT,Sweden,310
125,ION_TORRENT,USA,91030
126,ION_TORRENT,United Kingdom,13981
127,ION_TORRENT,Uruguay,10
128,OXFORD_NANOPORE,Angola,452
129,OXFORD_NANOPORE,Australia,537
130,OXFORD_NANOPORE,Bangladesh,391
131,OXFORD_NANOPORE,Belgium,257
132,OXFORD_NANOPORE,Brazil,469
133,OXFORD_NANOPORE,Cameroon,89
134,OXFORD_NANOPORE,Canada,1395
135,OXFORD_NANOPORE,Chile,4
136,OXFORD_NANOPORE,China,13
137,OXFORD_NANOPORE,Colombia,3
138,OXFORD_NANOPORE,Curacao,1
139,OXFORD_NANOPORE,Denmark,759
140,OXFORD_NANOPORE,Dominican Republic,10
141,OXFORD_NANOPORE,Ecuador,2
142,OXFORD_NANOPORE,Equatorial Guinea,1
143,OXFORD_NANOPORE,Eswatini,10
144,OXFORD_NANOPORE,Ethiopia,105
145,OXFORD_NANOPORE,France,1028
146,OXFORD_NANOPORE,Germany,14015
147,OXFORD_NANOPORE,Ghana,1077
148,OXFORD_NANOPORE,Greece,7
149,OXFORD_NANOPORE,Hong Kong,44
150,OXFORD_NANOPORE,Hungary,106
151,OXFORD_NANOPORE,India,506
152,OXFORD_NANOPORE,Indonesia,1
153,OXFORD_NANOPORE,Ireland,62853
154,OXFORD_NANOPORE,Italy,59
155,OXFORD_NANOPORE,Japan,12
156,OXFORD_NANOPORE,Kazakhstan,341
157,OXFORD_NANOPORE,Kenya,96
158,OXFORD_NANOPORE,Malawi,224
159,OXFORD_NANOPORE,Malaysia,13
160,OXFORD_NANOPORE,Malta,10
161,OXFORD_NANOPORE,Mauritius,892
162,OXFORD_NANOPORE,Morocco,6
