,country,country_code,count,log_count,text
Japan,Japan,JPN,371,5.916202062607435,Country : Japan<br>Count: 371
United Kingdom,United Kingdom,GBR,2718919,14.815744932806762,"Country : United Kingdom<br>Count: 2,718,919"
Switzerland,Switzerland,CHE,140706,11.854427886116495,"Country : Switzerland<br>Count: 140,706"
Argentina,Argentina,ARG,1512,7.321188556739478,"Country : Argentina<br>Count: 1,512"
Estonia,Estonia,EST,30867,10.33744293104392,"Country : Estonia<br>Count: 30,867"
Slovakia,Slovakia,SVK,41602,10.635903522016774,"Country : Slovakia<br>Count: 41,602"
Portugal,Portugal,PRT,48025,10.779476987636757,"Country : Portugal<br>Count: 48,025"
Spain,Spain,ESP,57128,10.953049643228946,"Country : Spain<br>Count: 57,128"
Bangladesh,Bangladesh,BGD,889,6.790097235513905,Country : Bangladesh<br>Count: 889
Ireland,Ireland,IRL,79535,11.28395245533246,"Country : Ireland<br>Count: 79,535"
Netherlands,Netherlands,NLD,14777,9.600827196903634,"Country : Netherlands<br>Count: 14,777"
Germany,Germany,DEU,15197,9.628853318933604,"Country : Germany<br>Count: 15,197"
Greece,Greece,GRC,8454,9.042394981126735,"Country : Greece<br>Count: 8,454"
Croatia,Croatia,HRV,32,3.4657359027997265,Country : Croatia<br>Count: 32
Denmark,Denmark,DNK,13347,9.499046919474152,"Country : Denmark<br>Count: 13,347"
Austria,Austria,AUT,20744,9.9400123272185,"Country : Austria<br>Count: 20,744"
Belgium,Belgium,BEL,434,6.073044534100405,Country : Belgium<br>Count: 434
France,France,FRA,3088,8.035278911144667,"Country : France<br>Count: 3,088"
Pakistan,Pakistan,PAK,1245,7.126890808898808,"Country : Pakistan<br>Count: 1,245"
Russia,Russia,RUS,588,6.376726947898627,Country : Russian Federation<br>Count: 588
Rwanda,Rwanda,RWA,192,5.2574953720277815,Country : Rwanda<br>Count: 192
Norway,Norway,NOR,22999,10.043206015705211,"Country : Norway<br>Count: 22,999"
Burkina Faso,Burkina Faso,BFA,13,2.5649493574615367,Country : Burkina Faso<br>Count: 13
Slovenia,Slovenia,SVN,614,6.419994928147142,Country : Slovenia<br>Count: 614
Italy,Italy,ITA,3270,8.0925452638913,"Country : Italy<br>Count: 3,270"
Lebanon,Lebanon,LBN,903,6.805722553416985,Country : Lebanon<br>Count: 903
Poland,Poland,POL,1744,7.463936604468925,"Country : Poland<br>Count: 1,744"
Ecuador,Ecuador,ECU,651,6.478509642208569,Country : Ecuador<br>Count: 651
Curacao,Curacao,CUW,1,0.0,Country : Curaçao<br>Count: 1
Saudi Arabia,Saudi Arabia,SAU,938,6.843749949006225,Country : Saudi Arabia<br>Count: 938
Latvia,Latvia,LVA,2921,7.979681302387741,"Country : Latvia<br>Count: 2,921"
