,median_time_diff_days
Japan,267.225
United Kingdom,24.872794969845966
Switzerland,408.7308960511411
Estonia,195.49260591526777
Slovakia,34.01447021943574
Portugal,65.46666109101554
Spain,232.53852009744213
Ireland,1790.1031205548773
Germany,268.03254604245745
Greece,41.28234716425239
Croatia,142.53125
Denmark,525.3808346444894
Austria,536.4978582792804
Bangladesh,445.4244256348247
Belgium,487.327868852459
Netherlands,203.8382573485303
France,191.57280832095097
Pakistan,71.13486842105263
Norway,310.04698716554276
Burkina Faso,679.0
Slovenia,256.6335504885993
Russia,100.34806629834254
Rwanda,307.65625
Italy,262.53314917127074
Argentina,784.9691211401425
Lebanon,179.90254706533776
Poland,157.39429237041352
Curacao,27.0
Saudi Arabia,559.37822671156
Latvia,149.0580931263858
Sri Lanka,590.5459216441875
USA,116.33456864341416
Australia,83.43664307123271
India,264.9252288911495
South Africa,145.86440159167432
Jordan,501.72327044025155
Mexico,523.3728813559322
Singapore,643.8985507246376
Brazil,313.75146257817227
,
Canada,398.4959940376374
Ecuador,140.33333333333334
South Korea,400.130898021309
Turkey,74.93478260869566
Angola,99.59049909801564
Mozambique,120.5906779661017
Peru,264.04857819905214
Iraq,546.4673748103187
Tunisia,453.3333333333333
Equatorial Guinea,712.5227272727273
Thailand,631.0624303232998
Sweden,256.64414414414415
Kosovo,732.0
Hong Kong,675.2697715289983
Mauritius,74.83333333333333
Chile,143.5
Zimbabwe,92.77835051546391
Cameroon,110.0908203125
Romania,302.4047619047619
Serbia,69.5
Liechtenstein,312.8918918918919
Finland,205.94728965746592
Ghana,289.1654867256637
Lesotho,170.0
Costa Rica,411.56315789473683
China,341.44973544973544
Cambodia,47.0
Colombia,123.66666666666667
Timor-Leste,56.7
Morocco,281.88
Egypt,659.6293103448276
Israel,94.77734753146176
Philippines,219.11174785100286
Malta,38.6
Malaysia,279.8888888888889
State of Palestine,129.55072463768116
Northern Mariana Islands,208.0567749487855
Myanmar,505.38461538461536
United Arab Emirates,381.4826616682287
Dominican Republic,186.11764705882354
Iran,321.0
Qatar,282.04787592717463
Uruguay,463.10869565217394
Czech Republic,278.0
Malawi,111.93989071038251
Ethiopia,515.2153716216217
Nepal,44.0
Seychelles,94.2125
Botswana,36.6078431372549
Moldova,305.7894736842105
Eswatini,59.5
Uganda,123.46666666666667
Namibia,150.02307692307693
Bhutan,363.9428571428571
Indonesia,43.0
Kenya,197.22448979591837
Kuwait,73.70370370370371
Bermuda,380.4390243902439
Kazakhstan,903.7547169811321
Guatemala,640.5
Hungary,283.0
Palau,281.38461538461536
Libya,744.5645161290323
Bulgaria,795.5
Nigeria,754.8461538461538
