,median_time_diff_days
France,320.6225129690202
,168.23529411764707
United Kingdom,212.63995231448297
China,261.5982532751092
India,230.48976412995106
Serbia,160.2565789473684
Iran,435.85622817229336
Thailand,252.643617920541
USA,84.46021364012692
Pakistan,135.1542257865515
Bangladesh,202.6039603960396
Viet Nam,178.77844914400805
Mexico,387.4497322784304
Italy,325.05524239007894
Iraq,506.53407155025553
Russia,389.2194388777555
Brazil,407.76305762354184
Australia,79.00478912405376
Venezuela,111.45
Malaysia,158.19675925925927
Egypt,93.94832041343669
Gabon,307.8888888888889
Bahrain,50.81022504153451
Chile,229.38949938949938
Hungary,84.5
Hong Kong,167.99804113614104
Spain,162.91370558375635
Uzbekistan,98.8048780487805
Taiwan,145.6919315403423
Poland,160.26970954356847
Libya,223.07042253521126
Philippines,161.65740740740742
South Korea,423.4991452991453
Sierra Leone,135.8080808080808
Tunisia,225.8273381294964
Ghana,80.41750841750842
Malta,190.6
Sweden,1171.779135338346
Peru,231.01708278580816
Kazakhstan,399.6703601108033
Indonesia,631.9868421052631
Denmark,157.49271354422316
Switzerland,50.83858650989317
Japan,139.0301665916254
Greece,58.52040816326531
Germany,179.2945502732248
Singapore,397.1363636363636
Czech Republic,102.72413793103448
Netherlands,237.78354686446391
Puerto Rico,236.07055306427503
Kenya,203.5616711653562
Timor-Leste,68.25925925925925
Saudi Arabia,491.0100273473108
Benin,672.2707581227437
Morocco,246.125
Turkey,503.29353233830847
Zambia,129.0
Lebanon,188.7561761546724
Jordan,1123.9792027729636
Nigeria,509.2783739837398
South Africa,282.54771059070254
Estonia,137.50505651397978
Uganda,347.2844827586207
Zimbabwe,272.2959183673469
Sri Lanka,66.0
Armenia,278.2083333333333
New Zealand,209.71447463332532
Georgia,323.2857142857143
Nepal,248.8095238095238
Guam,52.666666666666664
Uruguay,408.9189189189189
Canada,372.8541666666667
Myanmar,57.5
West Bank,79.76699029126213
Argentina,501.8233082706767
Israel,340.11764705882354
Finland,349.39130434782606
Austria,99.91153846153846
Mali,534.5887096774194
Belgium,180.96666666666667
Togo,108.63636363636364
Djibouti,131.89776357827475
Somalia,152.0
Ethiopia,261.77272727272725
Colombia,738.8603174603174
Liechtenstein,33.088877062267166
Slovakia,44.77861509274874
Iceland,264.8380026756906
Guinea,202.23076923076923
Seychelles,110.32977691561591
Jamaica,156.21917808219177
Dominican Republic,139.92746113989637
Mongolia,193.79107142857143
Cameroon,827.5109622411693
Ireland,189.8
Ecuador,460.35114503816794
Norway,448.42857142857144
Qatar,72.07407407407408
Bhutan,527.3619047619047
Gambia,525.4218415417558
Belize,137.0
Guatemala,744.4382470119522
Comoros,139.10344827586206
Laos,428.8724832214765
Cambodia,177.5
Portugal,149.625
Paraguay,365.13422818791946
Malawi,222.840830449827
Romania,236.3
Kuwait,188.69230769230768
Belarus,37.5
Cote d'Ivoire,521.25
Palau,238.0
Mauritania,721.8269230769231
Syria,55.0
Moldova,638.4666666666667
Namibia,316.0
Lesotho,109.0
Luxembourg,883.0
Tanzania,531.5555555555555
Suriname,568.0
Cuba,149.5
Senegal,515.0
